ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount,OrderDate,DueDate,ShipDate,OrderDate,OrderToshipDays,OrderToDueDays
529,20230101,20230113,20230108,12606,SO74271,3.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
217,20230101,20230113,20230108,12606,SO74271,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
225,20230101,20230113,20230108,12606,SO74271,8.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
537,20230101,20230113,20230108,11142,SO74272,35.00,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
528,20230101,20230113,20230108,11142,SO74272,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
214,20230101,20230113,20230108,11142,SO74272,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
530,20230101,20230113,20230108,25570,SO74273,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
465,20230101,20230113,20230108,25570,SO74273,24.49,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
530,20230101,20230113,20230108,28917,SO74274,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
487,20230101,20230113,20230108,28917,SO74274,54.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
463,20230101,20230113,20230108,28917,SO74274,24.49,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
477,20230101,20230113,20230108,11383,SO74275,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
479,20230101,20230113,20230108,11383,SO74275,8.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
214,20230101,20230113,20230108,11383,SO74275,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
485,20230101,20230113,20230108,17491,SO74276,21.98,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
222,20230101,20230113,20230108,17491,SO74276,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
485,20230102,20230114,20230109,16930,SO74277,21.98,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
467,20230102,20230114,20230109,16930,SO74277,24.49,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
475,20230102,20230114,20230109,27516,SO74278,69.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
490,20230102,20230114,20230109,27516,SO74278,53.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,11115,SO74279,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
478,20230102,20230114,20230109,11115,SO74279,9.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
473,20230102,20230114,20230109,11115,SO74279,63.50,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
484,20230102,20230114,20230109,11467,SO74280,7.95,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
529,20230102,20230114,20230109,13124,SO74281,3.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
541,20230102,20230114,20230109,26637,SO74282,28.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
530,20230102,20230114,20230109,26637,SO74282,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
463,20230102,20230114,20230109,26637,SO74282,24.49,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
539,20230102,20230114,20230109,28762,SO74283,24.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,28762,SO74283,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
535,20230102,20230114,20230109,26193,SO74284,24.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,26193,SO74284,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
484,20230102,20230114,20230109,26193,SO74284,7.95,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,22548,SO74285,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
536,20230102,20230114,20230109,22548,SO74285,29.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,22548,SO74285,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
478,20230102,20230114,20230109,21714,SO74286,9.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,21714,SO74286,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
231,20230102,20230114,20230109,21714,SO74286,49.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,17867,SO74287,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
536,20230102,20230114,20230109,17867,SO74287,29.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
222,20230102,20230114,20230109,17867,SO74287,34.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
237,20230102,20230114,20230109,17867,SO74287,49.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
478,20230102,20230114,20230109,21935,SO74288,9.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,21935,SO74288,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
463,20230102,20230114,20230109,21935,SO74288,24.49,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,21901,SO74289,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
478,20230102,20230114,20230109,21901,SO74289,9.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
476,20230102,20230114,20230109,12795,SO74290,69.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
237,20230102,20230114,20230109,12795,SO74290,49.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,25101,SO74291,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
473,20230102,20230114,20230109,25101,SO74291,63.50,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,28245,SO74292,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,28245,SO74292,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,15306,SO74293,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
222,20230102,20230114,20230109,15306,SO74293,34.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
228,20230102,20230114,20230109,15306,SO74293,49.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,16240,SO74294,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
485,20230102,20230114,20230109,18535,SO74295,21.98,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,16274,SO74296,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,18153,SO74297,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
537,20230102,20230114,20230109,15448,SO74298,35.00,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,15448,SO74298,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
528,20230102,20230114,20230109,14999,SO74299,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
537,20230102,20230114,20230109,14999,SO74299,35.00,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,14999,SO74299,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
485,20230102,20230114,20230109,14980,SO74300,21.98,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
217,20230102,20230114,20230109,14980,SO74300,34.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
538,20230102,20230114,20230109,24877,SO74301,21.49,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
529,20230102,20230114,20230109,24877,SO74301,3.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
481,20230102,20230114,20230109,24877,SO74301,8.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
538,20230102,20230114,20230109,21113,SO74302,21.49,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
480,20230102,20230114,20230109,21113,SO74302,2.29,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,24145,SO74303,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
225,20230102,20230114,20230109,24145,SO74303,8.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
477,20230102,20230114,20230109,22521,SO74304,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
541,20230102,20230114,20230109,22624,SO74305,28.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
530,20230102,20230114,20230109,22624,SO74305,4.99,2023-01-02,2023-01-14,2023-01-09,2023-01-02 00:00:00.000,7,12
479,20230103,20230115,20230110,11632,SO74306,8.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
477,20230103,20230115,20230110,11632,SO74306,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
471,20230103,20230115,20230110,11632,SO74306,63.50,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
539,20230103,20230115,20230110,15796,SO74307,24.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
536,20230103,20230115,20230110,17237,SO74308,29.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,17237,SO74308,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
485,20230103,20230115,20230110,17237,SO74308,21.98,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
488,20230103,20230115,20230110,17237,SO74308,53.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
485,20230103,20230115,20230110,17375,SO74309,21.98,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
486,20230103,20230115,20230110,12692,SO74310,159.00,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
530,20230103,20230115,20230110,28023,SO74311,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
217,20230103,20230115,20230110,28023,SO74311,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
530,20230103,20230115,20230110,26783,SO74312,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
541,20230103,20230115,20230110,26783,SO74312,28.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
487,20230103,20230115,20230110,26783,SO74312,54.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
541,20230103,20230115,20230110,13760,SO74313,28.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
530,20230103,20230115,20230110,13760,SO74313,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,13760,SO74313,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
535,20230103,20230115,20230110,25963,SO74314,24.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
541,20230103,20230115,20230110,26580,SO74315,28.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
530,20230103,20230115,20230110,26580,SO74315,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,26580,SO74315,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
540,20230103,20230115,20230110,11287,SO74316,32.60,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
529,20230103,20230115,20230110,11287,SO74316,3.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
480,20230103,20230115,20230110,11287,SO74316,2.29,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
536,20230103,20230115,20230110,17657,SO74317,29.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,17657,SO74317,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
480,20230103,20230115,20230110,17657,SO74317,2.29,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
475,20230103,20230115,20230110,18846,SO74318,69.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
225,20230103,20230115,20230110,18846,SO74318,8.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
491,20230103,20230115,20230110,18846,SO74318,53.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
477,20230103,20230115,20230110,18507,SO74319,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,18507,SO74319,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
471,20230103,20230115,20230110,18507,SO74319,63.50,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
476,20230103,20230115,20230110,27377,SO74320,69.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
231,20230103,20230115,20230110,27377,SO74320,49.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
225,20230103,20230115,20230110,27377,SO74320,8.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
477,20230103,20230115,20230110,11723,SO74321,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
217,20230103,20230115,20230110,11723,SO74321,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
477,20230103,20230115,20230110,18107,SO74322,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
225,20230103,20230115,20230110,18107,SO74322,8.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
477,20230103,20230115,20230110,12056,SO74323,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
222,20230103,20230115,20230110,12056,SO74323,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,14583,SO74324,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,14407,SO74325,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,14407,SO74325,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
465,20230103,20230115,20230110,14407,SO74325,24.49,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,23350,SO74326,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
487,20230103,20230115,20230110,23350,SO74326,54.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,19525,SO74327,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,19525,SO74327,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,17939,SO74328,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
536,20230103,20230115,20230110,17939,SO74328,29.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
480,20230103,20230115,20230110,17939,SO74328,2.29,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
478,20230103,20230115,20230110,13601,SO74329,9.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
214,20230103,20230115,20230110,13601,SO74329,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
536,20230103,20230115,20230110,20799,SO74330,29.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
480,20230103,20230115,20230110,20799,SO74330,2.29,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
529,20230103,20230115,20230110,26820,SO74331,3.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
538,20230103,20230115,20230110,26951,SO74332,21.49,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
529,20230103,20230115,20230110,26951,SO74332,3.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
217,20230103,20230115,20230110,26951,SO74332,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
530,20230103,20230115,20230110,16443,SO74333,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,11645,SO74334,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
537,20230103,20230115,20230110,11645,SO74334,35.00,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
217,20230103,20230115,20230110,11645,SO74334,34.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
465,20230103,20230115,20230110,11645,SO74334,24.49,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
537,20230103,20230115,20230110,11294,SO74335,35.00,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
528,20230103,20230115,20230110,11294,SO74335,4.99,2023-01-03,2023-01-15,2023-01-10,2023-01-03 00:00:00.000,7,12
535,20230104,20230116,20230111,12696,SO74336,24.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
477,20230104,20230116,20230111,20309,SO74337,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
472,20230104,20230116,20230111,20309,SO74337,63.50,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
529,20230104,20230116,20230111,14019,SO74338,3.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
540,20230104,20230116,20230111,14019,SO74338,32.60,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
231,20230104,20230116,20230111,17296,SO74339,49.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
530,20230104,20230116,20230111,19587,SO74340,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
541,20230104,20230116,20230111,19587,SO74340,28.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
217,20230104,20230116,20230111,19587,SO74340,34.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
465,20230104,20230116,20230111,19587,SO74340,24.49,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
480,20230104,20230116,20230111,18730,SO74341,2.29,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
491,20230104,20230116,20230111,11668,SO74342,53.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
541,20230104,20230116,20230111,27190,SO74343,28.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
530,20230104,20230116,20230111,27190,SO74343,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
480,20230104,20230116,20230111,27190,SO74343,2.29,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
540,20230104,20230116,20230111,14371,SO74344,32.60,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
535,20230104,20230116,20230111,21703,SO74345,24.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
528,20230104,20230116,20230111,21703,SO74345,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
535,20230104,20230116,20230111,25881,SO74346,24.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
535,20230104,20230116,20230111,20087,SO74347,24.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
480,20230104,20230116,20230111,20087,SO74347,2.29,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
528,20230104,20230116,20230111,23243,SO74348,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
536,20230104,20230116,20230111,23243,SO74348,29.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
528,20230104,20230116,20230111,23020,SO74349,4.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
536,20230104,20230116,20230111,23020,SO74349,29.99,2023-01-04,2023-01-16,2023-01-11,2023-01-04 00:00:00.000,7,12
